date,RF,Mkt,Mkt-RF,SMB,HML,RMW,CMA
7/1/1963,0.0027,-0.0012,-0.0039,-0.0041,-0.0097,0.0068,-0.0118
8/1/1963,0.0025,0.0532,0.0507,-0.008,0.018,0.0036,-0.0035
9/1/1963,0.0027,-0.013,-0.0157,-0.0052,0.0013,-0.0071,0.0029
10/1/1963,0.0029,0.0282,0.0253,-0.0139,-0.001,0.028,-0.0201
11/1/1963,0.0027,-0.0058,-0.0085,-0.0088,0.0175,-0.0051,0.0224
12/1/1963,0.0029,0.0212,0.0183,-0.021,-0.0002,0.0003,-0.0007
1/1/1964,0.003,0.0254,0.0224,0.0013,0.0148,0.0017,0.0147
2/1/1964,0.0026,0.018,0.0154,0.0028,0.0281,-0.0005,0.0091
3/1/1964,0.0031,0.0172,0.0141,0.0123,0.034,-0.0221,0.0322
4/1/1964,0.0029,0.0039,0.001,-0.0152,-0.0067,-0.0127,-0.0108
5/1/1964,0.0026,0.0168,0.0142,-0.0063,0.0186,-0.0016,0.0017
6/1/1964,0.003,0.0157,0.0127,0.0029,0.0062,-0.0028,-0.0017
7/1/1964,0.003,0.0204,0.0174,0.005,0.0075,0.0008,0.0191
8/1/1964,0.0028,-0.0116,-0.0144,0.0041,0.0008,0.0012,0.0035
9/1/1964,0.0028,0.0297,0.0269,-0.0034,0.017,-0.0056,0.0062
10/1/1964,0.0029,0.0088,0.0059,0.0087,0.0117,-0.0043,0.0047
11/1/1964,0.0029,0.0029,0,-0.0015,-0.0196,0.0063,-0.0026
12/1/1964,0.0031,0.0034,0.0003,-0.0069,-0.0248,0.0107,-0.015
1/1/1965,0.0028,0.0382,0.0354,0.0244,0.0012,0.0091,0.001
2/1/1965,0.003,0.0074,0.0044,0.0331,0.0011,0.0023,-0.0068
3/1/1965,0.0036,-0.0098,-0.0134,0.0212,0.0103,-0.0032,0.0069
4/1/1965,0.0031,0.0342,0.0311,0.0105,0.0066,0.003,-0.022
5/1/1965,0.0031,-0.0046,-0.0077,0.001,-0.0161,-0.0045,0.0053
6/1/1965,0.0035,-0.0516,-0.0551,-0.0428,0.0059,0.0022,0.0037
7/1/1965,0.0031,0.0174,0.0143,0.0108,0.022,-0.0137,0.0003
8/1/1965,0.0033,0.0306,0.0273,0.0271,-0.01,0.019,-0.0074
9/1/1965,0.0031,0.0317,0.0286,0.0062,-0.0013,-0.0089,0.008
10/1/1965,0.0031,0.0291,0.026,0.0347,0.0156,0.0117,-0.0065
11/1/1965,0.0035,0.0032,-0.0003,0.0519,0.0015,-0.0101,-0.0094
12/1/1965,0.0033,0.0134,0.0101,0.0266,0.0203,-0.0114,-0.0053
1/1/1966,0.0038,0.011,0.0072,0.0468,0.0356,-0.0282,-0.0011
2/1/1966,0.0035,-0.0086,-0.0121,0.0471,0.0033,-0.0017,-0.0149
3/1/1966,0.0038,-0.0213,-0.0251,0.0032,-0.0198,0.013,0.0006
4/1/1966,0.0034,0.0248,0.0214,0.0335,-0.0046,0.0039,-0.0095
5/1/1966,0.0041,-0.0525,-0.0566,-0.051,-0.0163,0.0164,-0.0152
6/1/1966,0.0038,-0.0106,-0.0144,0.0137,0.005,0.0015,0.0078
7/1/1966,0.0035,-0.0128,-0.0163,-0.0041,0.0095,-0.0036,0.0179
8/1/1966,0.0041,-0.075,-0.0791,-0.0312,0.0043,-0.0009,0.008
9/1/1966,0.004,-0.0066,-0.0106,-0.0114,0.0056,-0.0168,0.0237
